event_cd,event_type,event_desc,event_ct
8AFT,I,REGISTERED - SEC. 8 (10-YR) FILED/CHECK RECORD FOR SEC. 9,786
8OKT,O,REGISTERED - SEC. 8 (10-YR) ACCEPTED/CHECK RECORD FOR SEC. 9,667
8PRT,O,REGISTERED - PARTIAL SEC. 8 (10-YR) ACCEPTED,11553
9.AF,I,REGISTERED - SEC. 9 FILED/CHECK RECORD FOR SEC. 8,108811
9G8P,O,REGISTERED - SEC. 9 GRANTED/CHECK RECORD FOR SEC. 8,15994
9INF,O,INITIAL REVIEW ACTION MAILED - SECTION 9,9
A7OK,O,AMENDMENT UNDER SECTION 7 - ISSUED,33569
AAUA,E,NOTICE OF ACCEPTANCE OF AMENDMENT TO ALLEGE USE E-MAILED,39584
AAUA,O,NOTICE OF ACCEPTANCE OF AMENDMENT TO ALLEGE USE MAILED,3711
AAUD,F,AMENDMENT OF ALLEGED USE DISAPPROVED,2718
AAUW,S,ALLEGED AMENDMENT TO USE WITHDRAWN,206
ABN0,O,ABANDONMENT - INCOMPLETE RESPONSE,14063
ABN1,*,ABANDONMENT - EXPRESS MAILED,6575
ABN1,F,ABANDONMENT - EXPRESS MAILED,228
ABN1,O,ABANDONMENT - EXPRESS MAILED,104275
ABN1,S,ABANDONMENT - EXPRESS MAILED,7168
ABN2,O,ABANDONMENT - FAILURE TO RESPOND OR LATE RESPONSE,1513408
ABN3,O,ABANDONMENT - AFTER EX PARTE APPEAL,20021
ABN4,O,ABANDONMENT - AFTER INTER PARTES DECISION,77985
ABN5,O,ABANDONMENT - AFTER PUBLICATION,40145
ABN6,S,ABANDONMENT - NO USE STATEMENT FILED,1196292
ABN7,S,ABANDONMENT - DEFECTIVE USE STATEMENT,5438
ABN8,S,ABANDONMENT - AFTER PETITION DECISION(IU CASE),7
ABN9,O,ABANDONMENT - DEFECTIVE DIVIDED APPLICATION,1
ABND,Z,ABANDONMENT DELETED BY TTAB,345
ACEC,I,AMENDMENT FROM APPLICANT ENTERED,413465
ACFC,P,APPEAL TO CAFC,3
ADBS,I,1(B) BASIS DELETED; NEW BASIS REQUESTED,2615
ADCH,M,CHANGE OF NAME/ADDRESS REC'D FROM IB,32462
AITU,A,CASE ASSIGNED TO INTENT TO USE PARALEGAL,939359
ALIE,A,ASSIGNED TO LIE,3200505
AMD7,I,SEC 7 REQUEST FILED,73075
AMPB,I,AMENDMENT/PETITION AFTER APPROVAL FOR PUB ENTERED,1884
AMPR,I,AMENDMENT ENTERED BY POST REGISTRATION,1
AMPX,I,APPLICANT AMENDMENT PRIOR TO EXAMINATION,587
AMPX,O,APPLICANT AMENDMENT PRIOR TO EXAMINATION - ENTERED,99032
AORN,I,ASSIGNMENT OF OWNERSHIP REVIEWED NOT UPDATED,19
AOUM,I,ASSIGNMENT OF OWNERSHIP UPDATED MANUALLY,197
APET,A,ASSIGNED TO PETITION STAFF,54268
APRC,O,ADDITIONAL PUB REVIEW COMPLETED,2
APRE,A,CASE ASSIGNED TO POST REGISTRATION PARALEGAL,916271
ARAA,I,ATTORNEY REVOKED AND/OR APPOINTED,1107936
ASCK,I,ASSIGNMENT OF OWNERSHIP NOT UPDATED AUTOMATICALLY,804502
ASDF,I,ASSIGNMENT CHANGE WITHDRAWN,625
ASGN,I,AUTOMATIC UPDATE OF ASSIGNMENT OF OWNERSHIP,720637
ATAP,P,AMENDMENT APPROVED BY ATTORNEY,18
ATDN,P,AMENDMENT DENIED BY ATTORNEY,3
ATRQ,I,ATTORNEY REVIEW/DECISION ON AMENDMENT REQUIRED,8179
ATRV,O,ATTORNEY REVIEW COMPLETED,9140
AUPC,I,AMENDMENT TO USE PROCESSING COMPLETE,154263
C.7C,O,"NEW CERTIFICATE ISSUED, SEC. 7D",7091
C.7F,I,REQUEST FOR NEW CERTIFICATE FILED,5335
C15A,O,REGISTERED - SEC. 8 (6-YR) ACCEPTED & SEC. 15 ACK.,1160652
C15P,O,REGISTERED - PARTIAL SEC. 8 (6-YR) ACCEPTED & SEC. 15 ACK.,20984
C18.,O,CANCELLED SECTION 18-TOTAL,17827
C18P,O,CANCELLED SECTION 18-PARTIAL,301
C24.,O,CANCELLED SECTION 24-TOTAL,9
C37.,O,CANCELLED SECTION 37-TOTAL,297
C7..,O,CANCELLED SECTION 7-TOTAL,15862
C71P,O,CANCELLED SECTION 71 PARTIAL,2
C71T,O,CANCELLED SECTION 71,31108
C75A,O,REGISTERED - SEC. 71 ACCEPTED & SEC. 15 ACK.,10495
C75P,O,REGISTERED - PARTIAL SEC. 71 ACCEPTED & SEC. 15 ACK.,2861
C7P.,O,CANCELLED SEC. 7 - PARTIAL,753
C7PF,I,RQST FOR SECT 7 PARTIAL SURRENDER FILED,378
C7RF,I,REQUEST FOR SECT 7 TOTAL SURRENDER FILED,12252
C8..,O,CANCELLED SEC. 8 (6-YR),1518903
C8.T,O,CANCELLED SEC. 8 (10-YR),15981
C8P.,O,CANCELLED SECTION 8-PARTIAL,649
CAEX,O,CANCELLED SEC. 8 (10-YR)/EXPIRED SECTION 9,479226
CAND,T,CANCELLATION DISMISSED NO. 999999,24408
CANG,T,CANCELLATION GRANTED NO. 999999,19315
CANT,T,CANCELLATION TERMINATED NO. 999999,46826
CCCN,T,COUNTERCLAIM CANC. NO. 999999,577
CCON,T,COUNTERCLAIM OPP. NO. 999999,3337
CEAP,F,EXAMINER'S AMENDMENT/PRIORITY ACTION MAILED,7000
CEAP,O,EXAMINER'S AMENDMENT/PRIORITY ACTION MAILED,1803
CEPE,I,COMBINED EXAMINER'S AMENDMENT/PRIORITY ACTION ENTERED,29044
CFDD,O,REQUEST TO CORRECT FILING DATE DENIED,107
CFDG,O,REQUEST TO CORRECT FILING DATE - GRANTED,91
CFDM,I,REQUEST TO CORRECT FILING DATE - DISMISSED,7
CFIT,O,CASE FILE IN TICRS,1114970
CFRC,O,SUBSEQUENT FINAL MAILED,1803
CFRC,R,SUBSEQUENT FINAL REFUSAL WRITTEN,5671
CFRC,S,SUBSEQUENT FINAL MAILED,2
CHAN,I,APPLICANT/CORRESPONDENCE CHANGES (NON-RESPONSIVE) ENTERED,400540
CHLD,M,CHANGE OF OWNER RECEIVED FROM IB,28671
CHPB,I,CHANGES/CORRECTIONS AFTER PUB APPROVAL ENTERED,18999
CHPN,I,APPLICANT SUPPLIED CHANGES/CORRECTIONS AFTER PUB APPROVAL NOT ENT,789
CIID,O,REQUEST TO CANCEL INADVERTENTLY ISSUED DENIED,9
CIIG,O,REQUEST TO CANCEL INADVERTENTLY ISSUED REGISTRATION - GRANTED,4
CIIM,I,REQUEST TO CANCEL INADVERTENTLY ISSUED REGISTRATION - DISMISSED,4
CMMP,I,MISCELLANEOUS PAPER,6343
CNCF,O,CONTINUATION OF FINAL REFUSAL MAILED,24327
CNCF,R,ACTION CONTINUING A FINAL - COMPLETED,11827
CNCF,S,ACTION CONTINUING FINAL - COMPLETED,16691
CNCF,W,SU - ACTION CONTINUING FINAL - WRITTEN,2126
CNEA,*,EXAMINER'S AMENDMENT COMPLETED,397
CNEA,F,EXAMINER'S AMENDMENT MAILED,792253
CNEA,O,EXAMINERS AMENDMENT MAILED,258041
CNEA,R,EXAMINERS AMENDMENT -WRITTEN,1087645
CNEA,S,EXAMINERS AMENDMENT -WRITTEN,15916
CNEA,W,EXAMINERS AMENDMENT -WRITTEN,636
CNES,O,EXAMINERS STATEMENT MAILED,9000
CNES,R,EXAMINERS STATEMENT - COMPLETED,5982
CNES,S,EXAMINERS STATEMENT MAILED,132
CNES,W,SU - EXAMINER STATEMENT - WRITTEN,226
CNFR,F,FINAL REFUSAL MAILED,4
CNFR,O,FINAL REFUSAL MAILED,337836
CNFR,R,FINAL REFUSAL WRITTEN,335245
CNFR,S,FINAL REFUSAL MAILED,2821
CNFR,W,SU - FINAL REFUSAL - WRITTEN,21378
CNPR,P,ALLOWED PRINCIPAL REGISTER - SOU ACCEPTED,1214499
CNRT,*,NON-FINAL ACTION MAILED,2489
CNRT,F,NON-FINAL ACTION MAILED,2447430
CNRT,O,NON-FINAL ACTION MAILED,269638
CNRT,R,NON-FINAL ACTION WRITTEN,2807248
CNRT,S,NON-FINAL ACTION MAILED,52898
CNRT,W,SU - NON-FINAL ACTION - WRITTEN,175899
CNRU,F,DISAPPROVAL - AMENDMENT TO USE MAILED,2790
CNRU,O,DISAPPROVAL - AMENDMENT TO USE MAILED,793
CNSA,O,APPROVED FOR PUB - PRINCIPAL REGISTER,2719590
CNSA,P,APPROVED FOR PUB - PRINCIPAL REGISTER,2862332
CNSI,F,SUSPENSION INQUIRY MAILED,1
CNSI,O,INQUIRY AS TO SUSPENSION MAILED,36447
CNSI,R,SUSPENSION INQUIRY WRITTEN,64915
CNSI,S,INQUIRY AS TO SUSPENSION MAILED,29942
CNSI,W,SU - SUSPENSION INQUIRY - WRITTEN,24
CNSL,*,LETTER OF SUSPENSION MAILED,445
CNSL,F,LETTER OF SUSPENSION MAILED,154169
CNSL,O,LETTER OF SUSPENSION MAILED,31733
CNSL,R,SUSPENSION LETTER WRITTEN,274042
CNSL,S,LETTER OF SUSPENSION MAILED,103975
CNSL,W,SU - SUSPENSION LETTER - WRITTEN,80
CNSR,P,ALLOWED SUPPLEMENTAL REGISTER - SOU ACCEPTED,4174
CNTA,O,APPROVED FOR REGISTRATION SUPPLEMENTAL REGISTER,171213
COAE,I,TEAS APPLICANT/CORRESPONDENCE CHANGES ENTERED,12
COAR,I,TEAS CHANGE OF OWNER ADDRESS RECEIVED,389469
COC.,O,CERTIFICATE OF CORRECTION ISSUED,74508
COCO,O,CORRECTION OF OFFICE MISTAKE,3
CORN,I,"CORRECTION FROM THE IB EXAMINED, NO ACTION IS NEEDED",5135
CORR,I,CORRECTION FROM IB ENTERED - NO REVIEW REQUIRED,5806
CORV,1,REVIEW OF CORRESPONDENCE COMPLETE - ADDRESS UPDATED,3097
CORV,2,REVIEW OF CORRESPONDENCE COMPLETE - ADDRESS NOT UPDATED,2544
CORV,3,REVIEW OF CORRESPONDENCE COMPLETE - POWER OF ATTORNEY NOT ENTERED,2280
CORV,4,REVIEW OF CORRESPONDENCE COMPLETE - POWER OF ATTORNEY ENTERED,10463
CORV,5,REVIEW OF CORRESPONDENCE COMPLETE - CERTIFICATE OF REG MAILED,1548
CORV,6,REVIEW OF CORRESPONDENCE COMPLETE - INFORMATION MADE OF RECORD,8347
CORV,7,REVIEW OF CORRESPONDENCE COMPLETE - SEE NOTE TO FILE,296
CORV,P,REVIEW OF CORRESPONDENCE COMPLETE,94807
CPEA,F,EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION MAILED,2790
CPEA,O,EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION MAILED,509
CPEA,R,EXAMINERS AMENDMENT AND/OR PRIORITY ACTION - COMPLETED,74291
CPEA,W,SU - EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION - WRITTEN,196
CPRA,F,PRIORITY ACTION MAILED,10491
CPRA,O,PRIORITY ACTION MAILED,2928
CPRA,R,PRIORITY ACTION WRITTEN,87988
CRAF,I,AMENDMENT CORRESPONDENCE ENTERED,12
CRCR,E,CORRECTION CREATED FOR IB,782
CRCV,M,CORRECTION TRANSACTION RECEIVED FROM IB,14645
CREV,I,CORRECTION FROM IB ENTERED - ATTORNEY REVIEW REQUIRED,2240
CRFA,I,CORRESPONDENCE RECEIVED IN LAW OFFICE,4639832
CRML,O,CORRESPONDENCE MAILED,5829
CRNO,P,CORRESPONDENCE REVIEWED - NO ACTION NEEDED,13
CRRR,P,CORRECTION REFUSAL CREATED,1
CRSN,M,CORRECTION SENT TO IB,781
CRST,M,"PTO REFUSAL OF CORRECTION FROM IB, SENT TO IB",1
CRTP,C,REG. CANCELLED - RESTORED TO PENDENCY,5449
CTDA,T,CT DECISION: AFFIRMED,12
CTDD,T,CT DECISION: DISMISSED,11
CTDV,T,CT DECISION: VACATED AND REMANDED,3
CU.A,T,CONCURRENT USE NOT INSTITUED,7
CU.D,T,CONCURRENT USE DENIED NO. 999999,305
CU.G,T,CONCURRENT USE GRANTED NO. 999999,1068
CU.I,T,CONCURRENT USE PROC. INSTITUTED NO. 999999,3741
CU.M,T,CONCURRENT USE DISSOLVED,183
CU.T,T,CONCURRENT USE TERMINATED NO. 999999,2940
CWBI,Z,WITHDRAWN BEFORE REGISTRATION,270
CWBP,Z,WITHDRAWN BEFORE PUBLICATION,3488
D1BN,I,NO BASIS FOR REGISTRATION,5
D1BR,I,TEAS DELETE 1(B) BASIS RECEIVED,15572
DCPN,M,CHANGE OF OWNER RECEIVED FROM IB,590
DENA,E,NOTIFICATION OF EFFECT OF ABANDONMENT OF INTL REG E-MAILED,621
DENA,O,NOTIFICATION OF EFFECT OF CANCELLATION OF INTL REG MAILED,6804
DENC,E,NOTIFICATION OF EFFECT OF CANCELLATION OF INTL REG E-MAILED,3942
DENC,O,NOTIFICATION OF EFFECT OF CANCELLATION OF INTL REG MAILED,10869
DETH,P,DEATH OF INTERNATIONAL REGISTRATION,26176
DMCC,I,DATA MODIFICATION COMPLETED,48241
DOCK,D,ASSIGNED TO EXAMINER,8707565
DP1B,I,1(B) BASIS DELETED; PROCEED TO REGISTRATION,24134
DPCC,D,DIVISIONAL PROCESSING COMPLETE,96705
DRHI,O,DIVISIONAL REQUEST HELD INFORMAL,13
DRRR,I,DIVISIONAL REQUEST RECEIVED,89389
DVUT,I,UNTIMELY DIVISIONAL REQUEST PROCESSED,11
E15R,I,TEAS SECTION 15 RECEIVED,10957
E815,I,TEAS SECTION 8 & 15 RECEIVED,647768
E89R,I,TEAS SECTION 8 & 9 RECEIVED,611906
EAAU,I,TEAS AMENDMENT OF USE RECEIVED,85880
EADG,I,TEAS AMENDMENT TO DELETE G/S RECEIVED,1
EARE,O,EARLY EXTENSION OF USE REFUSED,646
EARS,O,EARLY STATEMENT OF USE NOT PROCESSED,76
ECCA,I,TEAS CHANGE OF CORRESPONDENCE RECEIVED,1
ECDR,I,TEAS CHANGE OF DOMESTIC REPRESENTATIVES ADDRESS,1409
EEXT,I,TEAS EXTENSION RECEIVED,1712415
EISU,I,TEAS STATEMENT OF USE RECEIVED,844186
EMRV,E,EMAIL RECEIVED,27298
ENOR,I,TEAS NOTE OF REPLACEMENT RECEIVED,79
EPEN,O,COMBINED EXAMINER'S AMENDMENT/PRIORITY ACTION AUTOMATIC ENTRY,21403
EPGS,I,TEAS PETITION TO REVIVE AND REQUEST TO DELETE 1B OR G/S,128
EPPA,I,TEAS POST PUBLICATION AMENDMENT RECEIVED,27873
EPRR,I,TEAS PETITION FOR POST REGISTRATION MATTERS RECEIVED,58
ERCF,I,TEAS REQUEST TO CHANGE FILING DATE.,44
ERFR,I,TEAS REQUEST FOR RECONSIDERATION RECEIVED,148906
ERFT,I,TEAS REQUEST FOR TRANSFORMATION RECEIVED,179
EROI,I,TEAS RESPONSE TO OFFICE ACTION-ITU RECEIVED,3
EROP,I,TEAS RESPONSE TO OFFICE ACTION-POST REG RECEIVED,51737
ERRR,O,ON HOLD - ELECTRONIC RECORD REVIEW REQUIRED,9740
ERRS,I,TEAS REQUEST FOR REINSTATEMENT,895
ERSI,I,TEAS RESPONSE TO SUSPENSION INQUIRY RECEIVED,88044
ERTD,I,TEAS REQUEST TO DIVIDE RECEIVED,48418
ERTI,I,TEAS RESPONSE TO PETITION TO DIRECTOR INQUIRY,1040
ERTP,I,TEAS RESPONSE TO PETITION DEFICIENCY RECEIVED,1649
ERTR,I,TEAS REQUEST TO DIVIDE REGISTRATION,268
ES71,I,TEAS SECTION 71 RECEIVED,13971
ES75,I,TEAS SECTION 71 & 15 RECEIVED,14542
ES7R,I,TEAS SECTION 7 REQUEST RECEIVED,41832
ES7S,I,TEAS SECTION 7 SURRENDER RECEIVED,5223
ES8R,I,TEAS SECTION 8 RECEIVED,135321
ETOF,T,EXTENSION OF TIME TO OPPOSE RECEIVED,224663
ETOP,T,EXTENSION OF TIME TO OPPOSE PROCESS - TERMINATED,69743
EWAF,I,TEAS WITHDRAWAL OF ATTORNEY RECEIVED-FIRM RETAINS,33460
EWOR,I,TEAS WITHDRAWAL AS DOMESTIC REPRESENTATIVE RECEIVED,1290
EX1D,S,EXTENSION 1 DENIAL LETTER PREPARED,2468
EX1G,S,EXTENSION 1 GRANTED,1039227
EX1M,S,EXTENSION 1 DENIAL LETTER MAILED,2442
EX2D,S,EXTENSION 2 DENIAL LETTER PREPARED,1710
EX2G,S,EXTENSION 2 GRANTED,595599
EX2M,S,EXTENSION 2 DENIAL LETTER MAILED,1700
EX3D,S,EXTENSION 3 DENIAL LETTER PREPARED,376
EX3G,S,EXTENSION 3 GRANTED,399358
EX3M,S,EXTENSION 3 DENIAL LETTER MAILED,370
EX4D,S,EXTENSION 4 DENIAL LETTER PREPARED,187
EX4G,S,EXTENSION 4 GRANTED,280658
EX4M,S,EXTENSION 4 DENIAL LETTER MAILED,183
EX5D,S,EXTENSION 5 DENIAL LETTER PREPARED,126
EX5G,S,EXTENSION 5 GRANTED,192004
EX5M,S,EXTENSION 5 DENIAL LETTER MAILED,125
EXAB,I,EXPRESS ABANDONMENT RECEIVED,5
EXAF,T,EXPARTE APPEAL RECEIVED AT TTAB,41720
EXAR,I,TEAS EXPRESS ABANDONMENT RECEIVED,68672
EXAR,T,EXPARTE APPEAL AFFIRMED/REVERSED IN PART,382
EXDA,T,EXPARTE APPEAL DISCLAIMER ACCEPTED,28
EXDM,T,EXPARTE APPEAL DISMISSED AS MOOT,867
EXDR,T,EXPARTE APPEAL DISMISSED REMANDED,52
EXFB,T,EXPARTE APPEAL DSMSED - FAILURE TO FILE BRIEF,9800
EXNI,T,EXPARTE APPEAL TO BOARD NOT ENTERTAINED,24
EXPA,T,EX PARTE APPEAL-REFUSAL AFFIRMED,9617
EXPI,T,EX PARTE APPEAL-INSTITUTED,65729
EXPR,T,EX PARTE APPEAL-REFUSAL REVERSED,2294
EXPT,T,EXPARTE APPEAL TERMINATED,47245
EXRA,E,NOTICE OF APPROVAL OF EXTENSION REQUEST E-MAILED,959924
EXRA,O,NOTICE OF APPROVAL OF EXTENSION REQUEST MAILED,122849
EXRE,T,EXPARTE APPEAL REINSTATED,4
EXRG,O,EXPIRED SEC. 9,202280
EXT1,S,EXTENSION 1 FILED,1042154
EXT2,S,EXTENSION 2 FILED,597438
EXT3,S,EXTENSION 3 FILED,399760
EXT4,S,EXTENSION 4 FILED,280862
EXT5,S,EXTENSION 5 FILED,192158
FAXX,I,FAX RECEIVED,141313
FAXX,O,FAX SENT,6373
FBCS,P,REPLACEMENT SENT TO IB,1
FBNX,P,REPLACEMENT TRANSACTION PROCESSED BY IB,26
FFDM,I,FILING RECEIPT CORRECTION ENTERED,2057
FICR,P,"FINAL DISPOSITION NOTICE CREATED, TO BE SENT TO IB",163304
FICS,P,FINAL DISPOSITION NOTICE SENT TO IB,163174
FIMP,P,FINAL DISPOSITION PROCESSED,131737
FINA,P,FINAL DECISION PROCESSED AND NO ACTION REQUIRED,59
FINA,R,FINAL DISPOSITION REVIEWED - NO ACTION REQUIRED BY OFFICE,165
FINO,P,FINAL DECISION TRANSACTION PROCESSED BY IB,111904
FINP,P,FINAL DECISION TRANSACTION PROCESSED BY IB,62
FINT,P,FINAL DECISION TRANSACTION PROCESSED BY IB,30477
FINV,P,FINAL DECISION TRANSACTION PROCESSED BY IB,15609
FISN,P,FINAL DECISION PROCESSED AND SENT TO IB,455
FIXD,O,ELECTRONIC RECORD REVIEW COMPLETE,7853
GAUD,F,NOTICE OF UNRESPONSIVE AMENDMENT - E-MAILED,35
GAUD,O,NOTICE OF UNRESPONSIVE AMENDMENT - E-MAILED,11291
GAUN,O,NOTIFICATION OF NOTICE OF UNRESPONSIVE AMENDMENT - E-MAILED,10121
GEA1,O,NOTIFICATION OF ACTION DENYING REQ FOR RECON E-MAILED,10721
GEA2,O,NOTIFICATION OF ACTION GRANTING REQ FOR RECON E-MAILED,20
GEAN,O,NOTIFICATION OF EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED,48604
GEAP,F,EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED,49667
GEAP,O,EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED,10046
GECD,O,ACTION DENYING REQ FOR RECON E-MAILED,12917
GECD,S,ACTION DENYING REQ FOR RECON E-MAILED,2
GECG,O,ACTION GRANTING REQ FOR RECON E-MAILED,518
GECG,S,ACTION GRANTING REQ FOR RECON E-MAILED,2
GNCF,O,CONTINUATION OF FINAL REFUSAL E-MAILED,9809
GNCF,S,CONTINUATION OF FINAL REFUSAL E-MAILED,7
GNCN,O,NOTIFICATION OF CONTINUATION OF FINAL REFUSAL E-MAILED,15
GNEA,*,EXAMINERS AMENDMENT E-MAILED,21
GNEA,F,EXAMINERS AMENDMENT E-MAILED,461401
GNEA,O,EXAMINERS AMENDMENT E-MAILED,521863
GNEA,S,EXAMINERS AMENDMENT E-MAILED,1
GNEN,O,NOTIFICATION OF EXAMINERS AMENDMENT E-MAILED,793064
GNES,O,EXAMINERS STATEMENT E-MAILED,4427
GNFN,O,NOTIFICATION OF FINAL REFUSAL EMAILED,235196
GNFR,F,FINAL REFUSAL E-MAILED,43
GNFR,O,FINAL REFUSAL E-MAILED,297110
GNFR,S,FINAL REFUSAL E-MAILED,28
GNPA,F,EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION E-MAILED,19
GNPA,O,SU - EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION E-MAILED,24
GNPE,F,EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION E-MAILED,3294
GNPE,O,EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION E-MAILED,337
GNR1,O,NOTIFICATION OF DISAPPROVAL - AMENDMENT TO USE E-MAILED,716
GNRN,O,NOTIFICATION OF NON-FINAL ACTION E-MAILED,1927600
GNRT,*,NON-FINAL ACTION E-MAILED,36
GNRT,F,NON-FINAL ACTION E-MAILED,2054021
GNRT,O,NON-FINAL ACTION E-MAILED,479709
GNRT,S,NON-FINAL ACTION E-MAILED,7
GNRU,F,DISAPPROVAL - AMENDMENT TO USE E-MAILED,317
GNRU,O,DISAPPROVAL - AMENDMENT TO USE E-MAILED,1035
GNS1,O,NOTIFICATION OF SUBSEQUENT FINAL EMAILED,10691
GNS2,O,NOTIFICATION OF INQUIRY AS TO SUSPENSION E-MAILED,44506
GNS3,O,NOTIFICATION OF LETTER OF SUSPENSION E-MAILED,188838
GNSF,O,SUBSEQUENT FINAL EMAILED,4423
GNSF,S,SUBSEQUENT FINAL EMAILED,1
GNSI,F,SUSPENSION INQUIRY E-MAILED,7
GNSI,S,INQUIRY TO SUSPENSION E-MAILED,50766
GNSL,*,LETTER OF SUSPENSION E-MAILED,4
GNSL,F,LETTER OF SUSPENSION E-MAILED,53752
GNSL,O,LETTER OF SUSPENSION E-MAILED,49
GNSL,S,LETTER OF SUSPENSION E-MAILED,182105
GNSN,O,NOTIFICATION OF EXAMINERS STATEMENT E-MAILED,3842
GPAR,P,"GRANT OF PROTECTION CREATED, TO BE SENT TO IB",6330
GPAS,P,GRANT OF PROTECTION SENT TO IB,10
GPNX,P,NOTIFICATION PROCESSED BY IB,64430
GPRA,F,PRIORITY ACTION E-MAILED,62375
GPRA,O,PRIORITY ACTION E-MAILED,11894
GPRN,O,NOTIFICATION OF PRIORITY ACTION E-MAILED,60121
GRDA,O,WITHDRAWAL OF REFUSAL DURING APPEAL E-MAILED,2
GRML,O,CORRESPONDENCE E-MAILED,8420
GSEA,F,SU - EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED,32
GSEA,O,SU - EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED,238
GSEN,O,NOTIFICATION OF SU- EXAMINER'S AMENDMENT/PRIORITY ACTION E-MAILED,234
GSPR,F,SU - PRIORITY ACTION E-MAILED,268
GSPR,O,SU - PRIORITY ACTION E-MAILED,1080
GSPS,O,NOTIFICATION OF SU - PRIORITY ACTION E-MAILED,1204
GSS1,O,NOTIFICATION OF SU - SUBSEQUENT FINAL E-MAILED,231
GSSF,O,SU - SUBSEQUENT FINAL MAILED,235
HSCD,I,HIDDEN SENSITIVE CONTENT,327
ICNA,I,NOTICE OF ALLOWANCE CORRECTION ENTERED,2713
IIOA,O,INADVERTENTLY ISSUED OFFICE ACTION,610
IIRN,O,INADVERTENTLY ISSUED REGISTRATION NUMBER CANCELLED,123
INAR,P,INVALIDATION REVIEWED - NO ACTION REQUIRED BY OFFICE,6
INCD,O,ITU OFFICE ACTION ISSUED FOR DIVISIONAL REQUEST,5569
INCE,O,ITU OFFICE ACTION ISSUED FOR EXTENSION REQUEST,5612
INCS,O,ITU OFFICE ACTION ISSUED FOR STATEMENT OF USE,3715
INNA,R,INVALIDATION REVIEWED - NO ACTION REQUIRED BY OFFICE,3308
INNP,P,PARTIAL INVALIDATION PROCESSED BY THE IB,4293
INNT,P,TOTAL INVALIDATION PROCESSED BY THE IB,17570
INOA,I,AMENDMENT AFTER NOA NOT ENTERED,3187
INPC,P,INVALIDATION PROCESSED,13901
INPR,P,PARTIAL INVALIDATION OF REG EXT PROTECTION CREATED,9255
INPS,P,PARTIAL INVALIDATION OF REG EXT PROTECTION SENT TO IB,4360
INTI,T,INTERFERENCE INSTITUTED NO. 999999,24
INTR,P,TOTAL INVALIDATION OF REG EXT PROTECTION CREATED,26338
INTS,P,TOTAL INVALIDATION OF REG EXT PROTECTION SENT TO IB,14178
INTT,T,INTERFERENCE TERMINATED NO. 999999,6
